state,district,crop_type,season,land_area_hectares,soil_type,ndvi_current,ndvi_30day_avg,rainfall_mm,avg_temperature_c,past_yield_ton_per_hectare,agri_trust_score
Punjab,Amritsar,Sugarcane,Kharif,6.83,Loamy,0.761,0.885,578.2,23.1,1.22,73.97
Karnataka,Belagavi,Sugarcane,Rabi,8.53,Black,0.879,0.566,647.9,32.4,3.27,84.86
Uttar Pradesh,Kanpur,Sugarcane,Rabi,11.19,Black,0.841,0.871,105.0,24.9,1.53,57.91
Maharashtra,Nagpur,Wheat,Kharif,7.22,Alluvial,0.447,0.609,123.8,39.4,5.93,43.91
Karnataka,Belagavi,Sugarcane,Kharif,9.24,Alluvial,0.39,0.293,122.4,38.5,3.08,21.49
Haryana,Hisar,Wheat,Kharif,14.02,Alluvial,0.806,0.232,75.0,24.4,5.05,55.81
Haryana,Karnal,Sugarcane,Rabi,6.2,Red,0.78,0.598,110.3,15.9,1.67,31.92
Maharashtra,Pune,Maize,Kharif,8.25,Alluvial,0.725,0.839,605.9,33.2,4.79,90.19
Punjab,Amritsar,Rice,Rabi,4.15,Black,0.392,0.345,884.3,33.9,1.23,60.91
Uttar Pradesh,Lucknow,Sugarcane,Kharif,4.96,Black,0.771,0.878,134.0,34.8,3.95,61.79
Haryana,Karnal,Maize,Kharif,3.59,Red,0.295,0.21,383.1,29.7,2.96,46.13
Haryana,Hisar,Sugarcane,Rabi,8.44,Black,0.516,0.837,333.1,28.1,4.49,77.89
Punjab,Amritsar,Maize,Rabi,11.65,Red,0.246,0.232,639.8,23.7,2.05,48.05
Uttar Pradesh,Lucknow,Wheat,Kharif,2.37,Loamy,0.29,0.306,181.9,31.0,1.91,30.44
Uttar Pradesh,Lucknow,Sugarcane,Rabi,10.18,Alluvial,0.321,0.335,88.8,19.2,2.39,18.4
Punjab,Ludhiana,Wheat,Kharif,7.18,Alluvial,0.344,0.455,528.2,32.3,1.2,47.23
Uttar Pradesh,Lucknow,Rice,Rabi,5.97,Red,0.202,0.808,130.3,29.9,5.93,59.64
Haryana,Karnal,Cotton,Kharif,1.4,Black,0.303,0.293,702.8,36.1,4.75,60.62
Haryana,Hisar,Rice,Rabi,8.22,Loamy,0.37,0.388,408.4,15.5,2.61,31.12
Punjab,Ludhiana,Rice,Kharif,5.47,Loamy,0.532,0.449,666.4,27.0,3.92,80.77
Punjab,Amritsar,Sugarcane,Rabi,2.35,Alluvial,0.399,0.454,663.6,29.3,2.78,69.79
Punjab,Ludhiana,Wheat,Kharif,0.61,Red,0.358,0.456,513.4,36.3,1.44,40.2
Uttar Pradesh,Lucknow,Wheat,Rabi,6.45,Loamy,0.888,0.278,428.0,39.2,5.33,63.68
Uttar Pradesh,Kanpur,Cotton,Kharif,13.98,Loamy,0.59,0.6,316.0,34.2,1.94,48.75
Punjab,Amritsar,Cotton,Kharif,4.01,Red,0.28,0.627,324.2,29.5,1.77,47.54
Uttar Pradesh,Lucknow,Cotton,Kharif,5.85,Red,0.518,0.584,571.5,20.0,4.42,67.41
Karnataka,Mysuru,Cotton,Rabi,11.52,Black,0.617,0.53,441.2,23.7,5.65,76.56
Karnataka,Belagavi,Sugarcane,Rabi,14.87,Red,0.344,0.465,930.1,33.0,1.24,66.37
Punjab,Ludhiana,Cotton,Kharif,3.42,Alluvial,0.315,0.315,823.8,31.6,3.62,70.99
Haryana,Karnal,Wheat,Kharif,10.4,Alluvial,0.516,0.7,904.7,30.6,3.7,94.09
Punjab,Ludhiana,Maize,Rabi,6.07,Black,0.58,0.835,643.0,17.9,5.7,81.62
Maharashtra,Pune,Sugarcane,Kharif,13.24,Red,0.547,0.719,594.5,39.9,4.76,66.85
Punjab,Amritsar,Cotton,Kharif,3.47,Loamy,0.7,0.546,766.9,17.6,3.68,74.09
Maharashtra,Nagpur,Maize,Kharif,7.78,Loamy,0.578,0.54,438.5,34.3,1.06,48.36
Maharashtra,Nagpur,Rice,Rabi,4.15,Red,0.442,0.327,913.0,29.6,3.0,81.09
Maharashtra,Nagpur,Cotton,Rabi,9.0,Loamy,0.554,0.628,67.2,36.8,5.66,49.15
Karnataka,Belagavi,Wheat,Rabi,0.83,Red,0.656,0.74,405.7,16.7,1.39,46.09
Punjab,Amritsar,Maize,Rabi,3.92,Red,0.316,0.33,845.6,23.3,2.56,64.99
Karnataka,Mysuru,Wheat,Rabi,1.29,Red,0.435,0.762,54.4,23.3,2.99,42.55
Haryana,Karnal,Wheat,Kharif,5.53,Loamy,0.716,0.517,263.4,26.3,1.7,56.26
Karnataka,Belagavi,Wheat,Rabi,5.02,Alluvial,0.746,0.394,259.1,20.3,3.58,51.41
Punjab,Amritsar,Maize,Kharif,6.51,Loamy,0.26,0.898,527.1,29.9,1.34,60.81
Uttar Pradesh,Kanpur,Maize,Kharif,3.47,Black,0.333,0.226,498.5,29.1,1.33,46.68
Haryana,Hisar,Maize,Rabi,6.89,Black,0.481,0.592,197.5,19.5,5.31,51.06
Haryana,Karnal,Wheat,Kharif,9.84,Red,0.486,0.218,198.3,32.9,4.29,44.02
Uttar Pradesh,Kanpur,Cotton,Kharif,3.34,Loamy,0.554,0.617,372.3,29.2,5.44,78.23
Haryana,Karnal,Sugarcane,Rabi,4.03,Red,0.706,0.799,838.7,24.9,4.34,100.0
Haryana,Karnal,Rice,Rabi,9.68,Alluvial,0.715,0.794,166.6,36.9,4.21,56.45
Karnataka,Belagavi,Wheat,Rabi,5.37,Alluvial,0.778,0.454,82.5,35.8,2.73,40.76
Maharashtra,Pune,Wheat,Rabi,14.25,Red,0.735,0.298,875.0,27.2,5.47,100.0
Punjab,Amritsar,Rice,Rabi,11.25,Alluvial,0.689,0.482,257.1,31.1,3.11,58.37
Karnataka,Belagavi,Wheat,Kharif,4.45,Alluvial,0.213,0.84,161.9,29.4,2.37,45.6
Haryana,Hisar,Cotton,Kharif,3.49,Alluvial,0.208,0.296,905.0,36.8,3.99,62.28
Karnataka,Mysuru,Maize,Kharif,8.81,Red,0.787,0.483,782.4,25.6,2.77,87.79
Karnataka,Belagavi,Maize,Rabi,11.68,Black,0.248,0.786,465.3,37.9,4.61,54.85
Karnataka,Belagavi,Sugarcane,Kharif,3.62,Black,0.222,0.384,615.3,16.3,3.48,42.13
Punjab,Amritsar,Wheat,Kharif,7.38,Red,0.441,0.446,442.2,32.6,3.99,59.45
Uttar Pradesh,Kanpur,Maize,Kharif,12.09,Alluvial,0.686,0.391,610.7,24.0,1.46,63.62
Punjab,Amritsar,Wheat,Kharif,10.51,Alluvial,0.565,0.261,960.3,34.0,4.19,83.27
Punjab,Amritsar,Wheat,Kharif,7.6,Black,0.355,0.891,946.9,16.0,4.53,80.69
Karnataka,Belagavi,Sugarcane,Rabi,13.77,Red,0.224,0.688,332.5,38.1,5.86,50.77
Maharashtra,Pune,Sugarcane,Rabi,7.1,Red,0.566,0.651,667.7,24.1,3.8,80.67
Karnataka,Mysuru,Wheat,Kharif,5.43,Black,0.707,0.246,349.5,28.5,4.95,72.12
Punjab,Amritsar,Sugarcane,Kharif,6.69,Black,0.814,0.492,488.8,39.8,1.0,46.63
Uttar Pradesh,Lucknow,Cotton,Kharif,14.97,Alluvial,0.445,0.737,431.8,27.0,4.14,74.29
Haryana,Hisar,Rice,Rabi,6.56,Black,0.495,0.716,276.8,17.8,2.77,42.51
Karnataka,Mysuru,Maize,Rabi,4.52,Alluvial,0.837,0.232,154.0,24.8,1.62,44.5
Karnataka,Mysuru,Wheat,Kharif,1.8,Loamy,0.492,0.815,947.5,26.7,4.07,100.0
Maharashtra,Pune,Wheat,Rabi,6.32,Alluvial,0.786,0.361,839.1,18.0,1.23,64.64
Punjab,Amritsar,Rice,Kharif,11.8,Alluvial,0.445,0.24,970.6,37.1,5.64,80.11
Uttar Pradesh,Kanpur,Sugarcane,Kharif,7.97,Alluvial,0.544,0.897,902.6,26.6,4.11,100.0
Punjab,Amritsar,Wheat,Rabi,8.91,Loamy,0.264,0.814,302.3,18.2,5.44,52.3
Haryana,Karnal,Maize,Kharif,5.27,Loamy,0.852,0.715,317.3,21.3,1.03,55.31
Haryana,Hisar,Sugarcane,Kharif,1.68,Black,0.354,0.678,122.3,36.3,3.48,36.26
Uttar Pradesh,Kanpur,Cotton,Kharif,10.1,Red,0.581,0.805,747.2,28.0,5.34,100.0
Uttar Pradesh,Kanpur,Sugarcane,Kharif,10.77,Alluvial,0.786,0.688,696.1,30.5,4.76,98.31
Haryana,Karnal,Cotton,Rabi,0.92,Black,0.778,0.29,368.4,33.6,1.8,50.7
Karnataka,Mysuru,Rice,Rabi,4.25,Loamy,0.335,0.259,360.1,29.0,1.58,42.11
Karnataka,Mysuru,Sugarcane,Kharif,2.36,Black,0.398,0.213,460.6,36.0,2.96,41.09
Maharashtra,Nagpur,Wheat,Rabi,10.47,Black,0.247,0.411,722.8,16.7,3.91,52.01
Uttar Pradesh,Kanpur,Sugarcane,Kharif,13.14,Alluvial,0.881,0.878,762.2,18.3,4.79,95.44
Uttar Pradesh,Lucknow,Sugarcane,Kharif,10.41,Red,0.512,0.392,997.3,25.7,3.26,89.28
Maharashtra,Nagpur,Cotton,Kharif,1.69,Alluvial,0.676,0.658,309.6,38.8,1.76,42.79
Karnataka,Mysuru,Rice,Kharif,14.49,Red,0.732,0.51,346.4,23.0,4.62,68.79
Punjab,Ludhiana,Sugarcane,Kharif,10.87,Loamy,0.594,0.53,566.1,19.0,2.02,54.44
Uttar Pradesh,Kanpur,Cotton,Rabi,8.19,Red,0.213,0.758,329.5,37.8,5.84,52.48
Punjab,Amritsar,Sugarcane,Kharif,2.2,Black,0.288,0.68,458.8,20.0,3.46,51.32
Uttar Pradesh,Kanpur,Maize,Kharif,7.1,Alluvial,0.208,0.251,422.9,27.0,4.0,52.7
Punjab,Amritsar,Cotton,Rabi,11.81,Alluvial,0.228,0.536,149.7,21.1,5.93,44.72
Haryana,Hisar,Cotton,Rabi,0.64,Black,0.429,0.562,133.5,23.8,1.17,33.19
Haryana,Hisar,Maize,Kharif,8.73,Red,0.683,0.76,240.1,19.2,1.52,44.91
Uttar Pradesh,Kanpur,Cotton,Rabi,9.12,Loamy,0.632,0.629,333.9,38.4,5.74,62.44
Uttar Pradesh,Lucknow,Wheat,Rabi,1.66,Black,0.826,0.583,826.4,26.3,4.22,100.0
Uttar Pradesh,Kanpur,Cotton,Kharif,1.38,Loamy,0.373,0.312,878.2,20.5,5.88,79.16
Karnataka,Mysuru,Wheat,Kharif,6.79,Red,0.231,0.313,69.8,31.3,2.66,26.1
Maharashtra,Nagpur,Sugarcane,Kharif,6.35,Black,0.354,0.493,243.4,36.0,1.87,30.23
Karnataka,Belagavi,Wheat,Rabi,6.67,Black,0.442,0.46,988.3,16.0,5.34,79.09
Karnataka,Belagavi,Sugarcane,Rabi,7.56,Red,0.811,0.83,450.6,21.9,3.96,79.27
Karnataka,Belagavi,Cotton,Rabi,9.66,Black,0.713,0.292,730.0,37.7,1.9,58.85
Haryana,Karnal,Wheat,Rabi,6.49,Black,0.248,0.506,142.5,25.1,3.96,42.45
Punjab,Ludhiana,Cotton,Kharif,5.03,Red,0.479,0.801,58.6,29.7,3.99,56.27
Uttar Pradesh,Kanpur,Cotton,Rabi,1.57,Red,0.319,0.564,370.2,35.7,3.15,44.12
Maharashtra,Pune,Wheat,Kharif,4.16,Loamy,0.451,0.466,625.3,23.9,3.67,68.85
Maharashtra,Nagpur,Sugarcane,Rabi,8.99,Black,0.808,0.344,156.3,21.7,1.29,38.55
Karnataka,Mysuru,Rice,Rabi,2.27,Alluvial,0.517,0.854,350.3,27.7,1.21,62.41
Haryana,Hisar,Maize,Rabi,10.45,Red,0.212,0.426,974.4,29.5,2.27,75.14
Maharashtra,Nagpur,Rice,Kharif,2.52,Alluvial,0.221,0.416,719.4,20.0,4.37,59.95
Karnataka,Belagavi,Rice,Rabi,3.9,Alluvial,0.874,0.379,678.6,39.5,2.87,65.34
Haryana,Hisar,Sugarcane,Rabi,13.04,Alluvial,0.738,0.279,805.7,38.0,4.0,73.09
Punjab,Amritsar,Sugarcane,Kharif,5.55,Alluvial,0.312,0.623,352.2,36.7,5.97,56.55
Karnataka,Mysuru,Rice,Kharif,11.21,Alluvial,0.815,0.483,360.7,31.7,5.04,76.44
Uttar Pradesh,Lucknow,Sugarcane,Kharif,12.36,Loamy,0.284,0.581,55.5,23.1,2.83,31.59
Karnataka,Mysuru,Rice,Rabi,9.15,Black,0.582,0.511,63.9,29.7,1.84,42.14
Punjab,Ludhiana,Sugarcane,Rabi,8.36,Loamy,0.866,0.793,918.5,35.3,1.54,89.16
Karnataka,Mysuru,Sugarcane,Kharif,8.24,Red,0.626,0.735,822.3,33.0,5.78,100.0
Uttar Pradesh,Lucknow,Sugarcane,Rabi,13.5,Red,0.25,0.868,672.0,24.5,1.99,67.0
Haryana,Hisar,Rice,Rabi,7.55,Black,0.38,0.399,341.9,35.1,3.7,44.67
Haryana,Hisar,Sugarcane,Kharif,4.45,Red,0.489,0.285,222.1,32.0,1.91,36.89
Punjab,Amritsar,Sugarcane,Rabi,3.19,Red,0.842,0.497,132.7,35.4,2.87,48.08
Uttar Pradesh,Lucknow,Rice,Kharif,9.22,Alluvial,0.773,0.819,266.7,20.3,4.05,65.72
Haryana,Hisar,Rice,Kharif,11.66,Black,0.59,0.379,337.0,33.3,5.26,62.68
Uttar Pradesh,Kanpur,Sugarcane,Kharif,2.67,Black,0.497,0.307,273.5,36.7,3.36,38.14
Karnataka,Mysuru,Wheat,Rabi,3.84,Loamy,0.344,0.647,294.0,30.8,1.29,43.76
Uttar Pradesh,Lucknow,Cotton,Rabi,10.58,Red,0.483,0.5,731.7,32.3,5.96,87.19
Maharashtra,Nagpur,Wheat,Rabi,5.39,Alluvial,0.834,0.741,301.7,31.1,3.98,76.5
Uttar Pradesh,Kanpur,Sugarcane,Rabi,5.65,Black,0.249,0.563,114.2,35.0,2.17,25.35
Haryana,Karnal,Wheat,Kharif,8.23,Black,0.427,0.433,686.0,39.9,4.31,57.82
Maharashtra,Nagpur,Rice,Rabi,8.92,Black,0.262,0.873,653.2,33.9,1.85,61.11
Punjab,Ludhiana,Cotton,Kharif,11.46,Loamy,0.443,0.665,805.7,38.2,2.17,62.87
Karnataka,Belagavi,Wheat,Kharif,13.94,Loamy,0.578,0.789,544.9,30.6,1.45,69.25
Maharashtra,Nagpur,Rice,Kharif,2.81,Alluvial,0.244,0.282,266.0,23.5,2.9,34.39
Punjab,Ludhiana,Maize,Kharif,4.93,Black,0.478,0.513,620.6,27.9,5.6,88.39
Maharashtra,Pune,Rice,Rabi,6.17,Black,0.551,0.478,562.7,30.7,4.37,75.82
Uttar Pradesh,Kanpur,Cotton,Rabi,3.57,Loamy,0.773,0.426,71.7,18.8,2.12,33.49
Haryana,Karnal,Sugarcane,Rabi,8.84,Red,0.536,0.42,626.1,18.5,5.49,69.02
Uttar Pradesh,Lucknow,Sugarcane,Rabi,12.47,Loamy,0.666,0.285,504.3,27.7,2.16,65.85
Maharashtra,Pune,Rice,Rabi,14.08,Red,0.813,0.394,858.9,15.0,1.09,60.7
Uttar Pradesh,Lucknow,Wheat,Kharif,1.39,Red,0.747,0.522,105.3,39.9,1.29,27.11
Punjab,Ludhiana,Cotton,Kharif,1.58,Loamy,0.748,0.386,218.9,32.3,4.09,58.62
Punjab,Ludhiana,Cotton,Kharif,9.42,Black,0.414,0.637,550.7,25.7,1.65,61.6
Karnataka,Mysuru,Rice,Rabi,5.83,Red,0.49,0.779,746.9,34.2,1.06,66.87
Karnataka,Belagavi,Rice,Rabi,11.96,Alluvial,0.608,0.677,230.2,30.5,2.62,57.81
Karnataka,Mysuru,Cotton,Rabi,12.12,Red,0.872,0.541,154.2,28.7,3.27,66.71
Karnataka,Belagavi,Sugarcane,Rabi,2.34,Black,0.805,0.37,669.1,35.3,4.07,76.63
Karnataka,Belagavi,Sugarcane,Kharif,13.44,Black,0.869,0.751,349.6,32.2,3.19,74.22
Haryana,Hisar,Wheat,Kharif,4.17,Alluvial,0.747,0.778,520.7,24.7,3.25,81.28
Maharashtra,Pune,Wheat,Kharif,8.02,Red,0.305,0.716,536.6,32.0,1.21,53.45
Punjab,Ludhiana,Cotton,Kharif,12.13,Loamy,0.274,0.225,533.2,24.7,3.31,51.83
Uttar Pradesh,Lucknow,Rice,Rabi,11.87,Red,0.448,0.488,572.1,35.8,1.34,47.59
Maharashtra,Pune,Cotton,Rabi,4.78,Alluvial,0.738,0.637,412.8,20.1,1.61,54.64
Punjab,Ludhiana,Sugarcane,Kharif,8.19,Loamy,0.229,0.878,808.8,22.3,5.9,88.5
Maharashtra,Nagpur,Cotton,Rabi,2.36,Alluvial,0.437,0.85,263.4,24.3,3.16,58.12
Haryana,Hisar,Rice,Rabi,4.47,Black,0.85,0.673,521.2,15.3,5.96,77.03
Punjab,Amritsar,Cotton,Rabi,13.82,Red,0.377,0.729,487.5,36.0,4.64,63.0
Uttar Pradesh,Lucknow,Maize,Kharif,14.09,Loamy,0.23,0.315,175.1,33.1,5.09,39.93
Maharashtra,Pune,Cotton,Kharif,6.49,Alluvial,0.731,0.72,631.3,17.6,1.76,63.15
Karnataka,Mysuru,Maize,Rabi,2.83,Loamy,0.591,0.768,754.6,37.0,2.39,71.56
Haryana,Hisar,Sugarcane,Kharif,3.46,Loamy,0.589,0.713,635.2,19.7,2.78,67.5
Maharashtra,Nagpur,Cotton,Kharif,12.8,Loamy,0.788,0.783,60.5,33.7,4.79,62.73
Uttar Pradesh,Lucknow,Maize,Rabi,4.93,Alluvial,0.814,0.897,399.9,26.2,4.61,90.36
Karnataka,Belagavi,Cotton,Kharif,10.59,Black,0.202,0.634,387.7,34.9,1.46,35.81
Uttar Pradesh,Kanpur,Maize,Kharif,2.01,Loamy,0.358,0.692,100.2,27.2,4.0,53.24
Maharashtra,Pune,Cotton,Rabi,7.72,Red,0.254,0.241,367.5,34.6,4.54,42.79
Karnataka,Belagavi,Maize,Kharif,2.27,Loamy,0.715,0.365,402.9,16.6,5.01,56.55
Karnataka,Mysuru,Maize,Kharif,6.61,Alluvial,0.645,0.75,162.4,25.2,5.2,69.84
Haryana,Hisar,Sugarcane,Rabi,3.44,Alluvial,0.596,0.886,207.0,32.5,3.93,64.01
Uttar Pradesh,Lucknow,Cotton,Kharif,11.85,Alluvial,0.239,0.797,264.3,24.4,3.31,50.86
Haryana,Hisar,Wheat,Rabi,7.5,Black,0.293,0.256,741.5,27.4,3.18,68.43
Punjab,Amritsar,Cotton,Rabi,3.77,Black,0.292,0.479,926.5,26.8,1.07,71.47
Maharashtra,Pune,Sugarcane,Rabi,4.08,Loamy,0.834,0.375,308.4,34.0,3.25,58.23
Punjab,Ludhiana,Maize,Kharif,12.87,Black,0.233,0.634,583.9,23.6,2.58,57.3
Haryana,Hisar,Wheat,Kharif,10.12,Black,0.874,0.592,940.0,16.3,3.09,84.44
Karnataka,Belagavi,Cotton,Kharif,2.6,Alluvial,0.708,0.334,371.3,22.7,5.74,69.79
Punjab,Ludhiana,Sugarcane,Kharif,2.69,Black,0.358,0.376,858.1,29.0,3.62,80.94
Maharashtra,Nagpur,Rice,Kharif,8.37,Alluvial,0.754,0.584,632.3,20.7,5.23,84.16
Haryana,Hisar,Cotton,Kharif,12.82,Black,0.668,0.524,441.2,31.3,3.73,70.59
Uttar Pradesh,Kanpur,Cotton,Rabi,12.01,Red,0.548,0.438,878.5,28.6,4.79,96.8
Karnataka,Mysuru,Rice,Kharif,13.25,Loamy,0.809,0.367,478.7,39.6,4.86,62.53
Uttar Pradesh,Kanpur,Maize,Kharif,4.6,Alluvial,0.474,0.759,403.3,26.3,2.99,67.28
Uttar Pradesh,Lucknow,Wheat,Kharif,3.45,Red,0.566,0.401,803.2,29.4,4.17,88.05
Haryana,Hisar,Maize,Rabi,6.99,Black,0.59,0.316,632.8,24.1,5.49,79.84
Punjab,Amritsar,Maize,Rabi,3.43,Alluvial,0.329,0.826,671.6,18.8,3.2,63.35
Maharashtra,Pune,Cotton,Rabi,7.83,Black,0.877,0.492,984.9,31.7,4.17,100.0
Haryana,Karnal,Rice,Rabi,10.01,Black,0.291,0.681,138.4,15.7,5.11,35.08
Karnataka,Mysuru,Maize,Rabi,3.22,Red,0.801,0.773,563.8,32.8,2.57,78.8
Maharashtra,Nagpur,Cotton,Rabi,5.05,Black,0.378,0.773,885.8,28.1,2.22,87.74
Punjab,Ludhiana,Wheat,Kharif,6.59,Loamy,0.834,0.718,231.7,30.3,3.18,70.03
Uttar Pradesh,Kanpur,Cotton,Kharif,14.7,Red,0.644,0.288,692.4,23.1,4.43,76.71
Punjab,Amritsar,Sugarcane,Kharif,3.79,Alluvial,0.786,0.395,660.7,32.4,3.56,79.42
Karnataka,Mysuru,Rice,Kharif,9.97,Alluvial,0.857,0.81,777.8,34.7,4.32,97.33
Uttar Pradesh,Lucknow,Maize,Kharif,8.63,Black,0.278,0.513,487.3,36.6,3.73,48.37
Uttar Pradesh,Kanpur,Maize,Kharif,0.76,Black,0.495,0.219,967.9,18.2,4.54,74.29
Uttar Pradesh,Lucknow,Maize,Kharif,12.67,Loamy,0.887,0.635,581.2,30.7,3.66,88.88
Karnataka,Mysuru,Sugarcane,Kharif,1.49,Alluvial,0.384,0.232,588.8,22.1,5.12,62.48
Uttar Pradesh,Kanpur,Wheat,Rabi,11.28,Red,0.234,0.832,859.7,31.7,3.97,84.43
Karnataka,Belagavi,Sugarcane,Rabi,12.02,Loamy,0.224,0.608,995.7,36.4,3.61,74.08
Karnataka,Mysuru,Wheat,Rabi,7.58,Alluvial,0.716,0.568,81.0,36.7,1.32,32.51
Maharashtra,Nagpur,Maize,Rabi,6.8,Loamy,0.742,0.621,897.9,26.1,4.04,100.0
Punjab,Ludhiana,Cotton,Rabi,9.77,Loamy,0.673,0.292,272.5,34.7,5.85,60.33
Haryana,Karnal,Cotton,Rabi,11.28,Black,0.554,0.644,117.4,21.4,2.81,42.21
Uttar Pradesh,Kanpur,Sugarcane,Rabi,3.96,Loamy,0.529,0.515,499.3,30.6,3.35,67.91
